;latitud;longitud;profundidad;magnitud;err_prof;err_h
499;-33.01;-68.992;15;0;8.9;4.5
500;-31.996;-70.447;115.9;2.6;6.9;6.45
501;-33.77;-70.861;72.4;2.5;1.7;0.65
502;-34.042;-68.52;16.8;3.4;7.7;2.1
503;-33.197;-70.215;107.8;4.1;2.3;1.6
504;-31.787;-72.011;23.3;4.4;1.6;1.3
505;-35.223;-70.467;169.4;3.6;2;1.45
506;-35.951;-71.173;120;3;8.4;3.1
507;-31.694;-71.897;32.1;4.2;1.4;1.45
508;-33.518;-70.852;73.1;2.6;1.8;0.7
509;-31.714;-71.926;33.6;4;2.1;2.45
510;-31.211;-69.296;218.3;3.5;6.8;4.35
511;-31.836;-71.948;29.7;3.9;2.1;1.9
512;-32.754;-71.695;19;4.1;6.3;0.8
